Symbol,q1_max,q2_max,q3_max,q4_max,q1_mean,q2_mean,q3_mean,q4_mean,q1_min,q2_min,q3_min,q4_min,q1_std,q2_std,q3_std,q4_std
A,54.1,60.81,66.17,70.59,50.47564516,56.95873016,62.29047619,67.49301587,46.49,52.33,58.57,64.87,2.102146928,2.803192012,2.378390909,1.152210547
AAL,49.59,51.43,54.22,53.03,45.24322581,46.48873016,48.37015873,49.82507937,40.35,40.9,42.92,45.74,2.343530176,2.754183031,3.194845896,2.19169832
AAP,174.79,151.47,118.41,104.02,160.695,137.2952381,100.9474603,91.97333333,147.8,116.05,87.08,79.38,7.899174215,9.416554205,6.648064955,7.689563518
AAPL,144.12,156.1,164.05,176.42,131.7125,147.8753968,155.3046032,167.148254,116.02,140.68,142.73,153.48,9.181703686,4.947394826,5.815465428,7.535048117
ABBV,66.55,73.18,89.22,98.21,62.86983871,67.22793651,76.13269841,94.24539683,60,63.45,69.85,89.56,2.021419313,2.788296485,6.742742384,2.605450754
ABC,92.23,96.38,95.22,93.79,87.88548387,89.05428571,84.81126984,82.71460317,81.53,80.94,78.04,73.23,2.945716911,4.537754068,6.165833667,5.863650692
ABT,45.72,49.27,53.64,57.47,43.23290323,45.26555556,50.17539683,55.41825397,39.05,42.67,47.94,53.68,2.063436881,2.055076153,1.509068101,0.897528038
ACN,126.48,127.77,138.16,154.2,119.3948387,121.824127,130.3136508,144.9255556,113.21,114.86,122.94,134.25,3.871091997,3.480066108,4.04882233,5.620103827
ADBE,130.13,145.41,156.87,185.4,117.3656452,136.918254,149.2557143,172.0393651,103.48,129.05,138.41,147.94,6.774574119,4.954482994,4.233998611,11.50287003
ADI,83.85,85.76,86.17,93.07,78.53443548,79.45666667,80.65730159,88.57730159,71.32,75.51,76.11,84.79,4.426007721,2.226917441,2.536400934,2.097394087
ADM,46.97,45.8,44.09,44,44.80467742,42.93698413,42.12603175,41.13873016,43.44,40.63,40.29,38.96,0.795224925,1.608795016,0.847365061,1.643026802
ADP,105.11,105.16,118.91,118.64,101.9954839,101.2238095,107.0921429,114.3439683,95.25,96.46,101.305,109.32,2.544489821,2.175388307,4.04155778,2.655072163
ADS,249,263.01,264.57,253.48,237.0556452,248.9914286,232.4930159,232.1939683,221.7,234.66,210.43,220.14,8.112773701,9.030887296,15.83035739,8.824010598
ADSK,88.93,113.89,116.48,130.24,83.68290323,98.94809524,110.3157143,116.5977778,76.18,83.54,99.36,103.8,2.981397729,10.07028379,3.630436619,8.354522523
AEE,56.19,57.17,60.91,64.54,53.52016129,55.52238095,57.79714286,61.44984127,51.69,54.21,53.75,57.93,1.32350812,0.900757234,2.131203982,1.822280114
AEP,67.84,72.67,74.55,77.63,64.76790323,69.46936508,71.24301587,74.71698413,62.12,67.15,68.17,70.29,1.761787595,1.968949182,1.836416246,1.888595343
AES,11.93,11.95,11.43,11.29,11.42306452,11.48444444,11.15730159,10.81825397,11,11.04,10.68,10.23,0.236709608,0.25705389,0.153855885,0.268643784
AET,134.11,152.98,163.21,182.73,125.5601613,141.3488889,156.2522222,171.8179365,116.71,127.28,151.98,151.44,4.695949944,8.343200073,2.835512382,9.152359851
AFL,72.98,79.26,84.26,89.26,70.87145161,75.14507937,80.53206349,85.35801587,67.14,72.19,77.12,81.97,1.302054929,1.839591358,2.077129035,2.065058685
AGN,249.32,248.91,256.15,210.98,232.875,234.9846032,232.5544444,179.4493651,210.8,218.73,202.66,163.58,12.69848148,8.254363621,14.68870048,14.16426442
AIG,67.2,64.25,66.06,65.13,64.20548387,62.15492063,62.31301587,61.42904762,60.85,58.98,58.27,58.11,1.735240029,1.474186351,2.044210262,2.058796794
AIV,46.53,44.99,46.45,45.47,44.73983871,43.78269841,44.80634921,44.20428571,43.11,42.64,42.42,43.15,0.764943997,0.702401885,1.098568426,0.574764227
