Symbol,Year Founded
HII,2011
NCLH,2011
CDNS,1988
SBAC,1989
IQV,1982
AOS,1916
DRE,1972
MGM,1986
PKG,1959
RMD,1989
BKR,2017
ALGN,1997
ANSS,1969
RE,1973
HLT,1919
INFO,1959
IT,1979
DXC,2017
AMD,1969
ARE,1994
RJF,1962
SNPS,1986
DISH,1980
REG,1963
CBOE,1973
INCY,1991
IDXX,1983
MAA,1977
COO,1958
CHTR,1993
MTD,1945
ALB,1994
LNT,1917
FTV,2016
FBHS,2011
TDG,1993
AJG,1927
LKQ,1998
DLR,2004
ALK,1985
GPN,2000
ULTA,1990
UA,1996
CNC,1984
HOLX,1985
UDR,1972
AWK,1886
FRT,1962
CFG,1828
EXR,1977
WLTW,2016
CHD,1847
ILMN,1998
SYF,2003
HPE,2015
VRSK,1971
FOX,2019
NWS,2013
UAL,1967
ATVI,2008
PYPL,1998
AAP,1932
KHC,2015
JBHT,1961
QRVO,2015
O,1969
AAL,1934
EQIX,1998
HBI,2000
HSIC,1932
SWKS,2002
HCA,1968
RCL,1997
URI,1997
UHS,1979
DISCK,1985
MLM,1993
AVGO,1961
UAA,1996
GOOGL,1998
ESS,1971
TSCO,1938
FB,2004
MHK,1878
ALLE,1908
AME,1930
VRTX,1989
DAL,1929
NWSA,2013
NLSN,1923
FOXA,2019
ZTS,1952
GM,1908
KSU,1887
REGN,1988
PVH,1881
ABBV,2013
APTV,1994
GRMN,1989
DG,1939
MDLZ,2012
PNR,1966
LYB,2007
STX,1979
LRCX,1980
MNST,2012
ALXN,1992
KMI,1997
PSX,2012
CCI,1994
BWA,1880
DLTR,1986
PRGO,2013
XYL,2011
TEL,2007
MOS,2004
ACN,1989
MPC,2009
CMG,1993
BLK,1988
EW,1958
FFIV,1996
NFLX,1997
TT,1871
JCI,1885
CB,1985
KMX,1993
CERN,1979
OKE,1906
DISCA,1985
BRK.B,1839
NRG,1992
ROP,1981
ROST,1982
V,1958
BKNG,1996
FMC,1883
PWR,1997
WDC,1970
ORLY,1957
HRL,1891
VTR,1998
WELL,1970
IRM,1951
FLIR,1978
RSG,1998
XRAY,2016
WYNN,2002
